"","shrimp","almonds","avocado","vegetables mix","green grapes","whole weat flour","yams","cottage cheese","energy drink","tomato juice","low fat yogurt","green tea","honey","salad","mineral water","salmon","antioxydant juice","frozen smoothie","spinach","olive oil"
"3370","pasta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3371","vegetables mix","asparagus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3372","herb & pepper","spaghetti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3373","turkey","spaghetti","mushroom cream sauce","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3374","turkey","frozen vegetables","pepper","avocado","muffins","white wine","toothpaste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3375","avocado","yogurt cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3376","ground beef","spaghetti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3377","burgers","shrimp","frozen vegetables","tomatoes","milk","cake","chocolate","cottage cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3378","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3379","spaghetti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3380","mineral water","black tea","eggs","whole wheat rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3381","turkey","eggs","french fries","frozen smoothie","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3382","chocolate","champagne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3383","tomatoes","eggs","melons","mint","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3384","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3385","frozen vegetables","tomatoes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3386","spaghetti","milk","pancakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3387","ham","eggs","cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3388","escalope","pasta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3389","antioxydant juice","french fries","escalope","light mayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3390","eggs","frozen smoothie","escalope","cookies","pancakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3391","ground beef","spaghetti","green beans","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3392","fresh tuna","mineral water","milk","french fries","mushroom cream sauce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3393","eggs","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3394","eggs","green tea","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3395","butter","extra dark chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3396","turkey","mineral water","eggs","green tea","hot dogs","cauliflower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3397","mineral water","pancakes","french fries","cookies","shallot","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3398","mineral water","meatballs","energy drink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3399","shrimp","ground beef","pepper","spaghetti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3400","spaghetti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3401","sparkling water","energy drink","light mayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3402","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3403","escalope","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3404","spaghetti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3405","spaghetti","olive oil","chicken","eggs","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3406","mineral water","avocado","oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3407","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3408","chocolate","milk","eggs","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3409","eggs","french fries","frozen smoothie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3410","tomatoes","pepper","mineral water","milk","salmon","nonfat milk","eggs","gums","cooking oil","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3411","grated cheese","shrimp","frozen vegetables","cider","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3412","turkey","grated cheese","milk","black tea","chicken","chocolate","french fries","frozen smoothie","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3413","burgers","french fries","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3414","shrimp","avocado","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3415","whole wheat rice","clothes accessories","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3416","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3417","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3418","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3419","grated cheese","herb & pepper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3420","vegetables mix","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3421","chocolate","ground beef","mineral water","eggs","whole wheat rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3422","eggs","mushroom cream sauce","candy bars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3423","grated cheese","shrimp","ground beef","mineral water","chocolate","salt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3424","burgers","whole wheat rice","cooking oil","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3425","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3426","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3427","ground beef","spaghetti","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3428","energy bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3429","turkey","frozen vegetables","spaghetti","mineral water","eggs","antioxydant juice","french fries","frozen smoothie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3430","butter","escalope","shallot","white wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3431","mineral water","soup","milk","cooking oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3432","mineral water","pancakes","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3433","burgers","milk","eggs","chocolate","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3434","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3435","burgers","herb & pepper","frozen vegetables","tomatoes","whole wheat pasta","ground beef","spaghetti","mineral water","barbecue sauce","toothpaste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3436","herb & pepper","spaghetti","eggs","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3437","extra dark chocolate","green tea","candy bars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3438","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3439","milk","frozen smoothie","white wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3440","burgers","french fries","cookies","strawberries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3441","ground beef","pepper","mineral water","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3442","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3443","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3444","frozen vegetables","chicken","bacon","eggs","honey","extra dark chocolate","eggplant","cottage cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3445","frozen vegetables","spaghetti","mineral water","soup","milk","salmon","green grapes","eggs","french fries","shallot","brownies","light mayo","melons","toothpaste",NA,NA,NA,NA,NA,NA
"3446","shrimp","frozen vegetables","tomatoes","mineral water","meatballs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3447","chocolate","red wine","shrimp","spaghetti","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3448","avocado","milk","butter","chicken","salmon","eggs","chocolate","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3449","spaghetti","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3450","spaghetti","olive oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3451","pepper","cereals","antioxydant juice","sparkling water","shampoo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3452","salmon","cooking oil","carrots",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3453","chocolate","red wine","tomatoes","spaghetti","butter","almonds","strong cheese","clothes accessories","green tea","hand protein bar","mint",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3454","chocolate","tomatoes","mineral water","olive oil","cooking oil","low fat yogurt","zucchini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3455","pepper","cookies","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3456","ham","chocolate","grated cheese","ground beef","mineral water","eggs","protein bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3457","shrimp","tomatoes","mineral water","almonds","hot dogs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3458","milk","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3459","white wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3460","grated cheese","tomatoes","soup","blueberries","cooking oil","chili","green tea","fresh bread","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3461","meatballs","butter","chicken","cider","whole wheat rice","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3462","green tea","mint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3463","chocolate","frozen vegetables","nonfat milk","pancakes","blueberries","melons","salt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3464","tomatoes","ground beef","spaghetti","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3465","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3466","milk","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3467","whole wheat pasta","ground beef","milk","olive oil","champagne","cauliflower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3468","red wine","frozen vegetables","milk","salmon","pancakes","eggs","ham","cereals","french fries","champagne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3469","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3470","turkey","frozen vegetables","ground beef","spaghetti","soup","olive oil","shallot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3471","energy bar","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3472","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3473","cake","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3474","tomatoes","spaghetti","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3475","mineral water","olive oil","eggs","mint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3476","red wine","ground beef","mineral water","eggs","cottage cheese","brownies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3477","pancakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3478","spaghetti","mineral water","milk","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3479","oil","chocolate","cottage cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3480","herb & pepper","shrimp","frozen vegetables","mineral water","milk","cooking oil","barbecue sauce","green beans","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3481","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3482","burgers","ground beef","soup","milk","olive oil","almonds","fromage blanc","pancakes","oil","pet food","french fries","mushroom cream sauce","light mayo","low fat yogurt",NA,NA,NA,NA,NA,NA
"3483","burgers","butter","light cream","zucchini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3484","grated cheese","chocolate","soup","salmon","cooking oil","chicken","strawberries","fresh bread","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3485","turkey","ham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3486","olive oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3487","cookies","mushroom cream sauce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3488","grated cheese","ground beef","spaghetti","bacon","pancakes","eggs","barbecue sauce","frozen smoothie","strawberries","white wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3489","mineral water","eggs","gums",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3490","spaghetti","mineral water","chocolate","honey","green beans","french fries","body spray","pancakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3491","mineral water","eggs","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3492","shrimp","ground beef","pepper","spaghetti","pancakes","honey","body spray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3493","spaghetti","mineral water","eggs","whole wheat rice","french fries","tomato juice","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3494","spaghetti","mineral water","soup","salmon","green grapes","champagne","mashed potato","cottage cheese","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3495","herb & pepper","ground beef","tomato sauce","spaghetti","mineral water","chocolate","soup","olive oil","eggs","cake","cooking oil",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3496","burgers","salmon","vegetables mix","carrots","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3497","tomatoes","rice","oil","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3498","herb & pepper","ground beef","salmon","spinach","honey","protein bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3499","chocolate","red wine","tomato sauce","butter","chicken","salmon","french fries","salt","mint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3500","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3501","burgers","tomatoes","milk","honey","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3502","mineral water","eggs","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3503","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3504","mineral water","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3505","herb & pepper","ground beef","spaghetti","green grapes","cake","burger sauce","cooking oil","chicken","cereals","green tea","escalope","magazines","toothpaste","mint",NA,NA,NA,NA,NA,NA
"3506","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3507","spaghetti","corn","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3508","herb & pepper","shrimp","frozen vegetables","spaghetti","flax seed","fromage blanc","chocolate","french fries","magazines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3509","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3510","frozen vegetables","ground beef","almonds","fromage blanc","cooking oil","chocolate","french fries","champagne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3511","light mayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3512","burgers","black tea","eggs","chocolate","yogurt cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3513","meatballs","pancakes","eggs","french fries","yogurt cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3514","burgers","mineral water","green grapes","barbecue sauce","oatmeal","chocolate","tomato juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3515","eggs","french fries","frozen smoothie","escalope","cottage cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3516","mineral water","eggs","corn","chocolate","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3517","shrimp","light mayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3518","cooking oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3519","burgers","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3520","chocolate","spaghetti","mineral water","soup","pancakes","eggs","hand protein bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3521","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3522","frozen vegetables","eggs","melons","low fat yogurt","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3523","spaghetti","mineral water","pancakes","cooking oil","chocolate","frozen smoothie","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3524","chocolate","chili",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3525","ground beef","chocolate","cooking oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3526","candy bars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3527","burgers","turkey","shrimp","spaghetti","mineral water","chocolate","soup","olive oil","muffins","eggs","cake","french fries","low fat yogurt",NA,NA,NA,NA,NA,NA,NA
"3528","turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3529","shrimp","milk","butter","pancakes","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3530","cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3531","grated cheese","mineral water","soup","olive oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3532","candy bars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3533","candy bars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3534","turkey","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3535","tomatoes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3536","herb & pepper","tomatoes","pepper","mineral water","cooking oil","french fries","frozen smoothie","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3537","mineral water","light cream","cooking oil","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3538","ground beef","mineral water","olive oil","vegetables mix","light cream","oil","brownies","melons","fresh bread","mayonnaise","candy bars","green tea",NA,NA,NA,NA,NA,NA,NA,NA
"3539","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3540","mineral water","vegetables mix","french fries","fresh bread","cauliflower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3541","spaghetti","strawberries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3542","mineral water","chutney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3543","pickles","herb & pepper","shrimp","tomatoes","ground beef","mineral water","gums","bramble","rice","french fries","frozen smoothie","light mayo","mint","green tea",NA,NA,NA,NA,NA,NA
"3544","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3545","energy bar","salmon","french fries","frozen smoothie","sparkling water","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3546","spaghetti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3547","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3548","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3549","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3550","herb & pepper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3551","shrimp","tomatoes","chocolate","eggs","oil","french fries","escalope","mushroom cream sauce","sandwich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3552","eggs","extra dark chocolate","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3553","yogurt cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3554","turkey","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3555","mineral water","brownies","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3556","tomatoes","strawberries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3557","frozen vegetables","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3558","dessert wine","shrimp","spaghetti","soup","gums",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3559","shrimp","frozen vegetables","ground beef","spaghetti","milk","olive oil","salmon","muffins","eggs","bug spray","chicken","french fries","fresh bread","low fat yogurt",NA,NA,NA,NA,NA,NA
"3560","turkey","tomatoes","pepper","mineral water","soup","milk","cake","pet food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3561","black tea","french fries","champagne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
